code,name,descr
CO,Colombia,Republic of Colombia
MX,Mexico,United Mexican States
US,United States,United States of America
CA,Canada,Canada
BR,Brazil,Federative Republic of Brazil
AR,Argentina,Argentine Republic
CL,Chile,Republic of Chile
PE,Peru,Republic of Peru
VE,Venezuela,Bolivarian Republic of Venezuela
EC,Ecuador,Republic of Ecuador
GB,United Kingdom,United Kingdom of Great Britain and Northern Ireland
FR,France,French Republic
DE,Germany,Federal Republic of Germany
IT,Italy,Italian Republic
ES,Spain,Kingdom of Spain
PT,Portugal,Portuguese Republic
NL,Netherlands,Kingdom of the Netherlands
SE,Sweden,Kingdom of Sweden
NO,Norway,Kingdom of Norway
FI,Finland,Republic of Finland
RU,Russia,Russian Federation
CN,China,People's Republic of China
JP,Japan,Japan
KR,South Korea,Republic of Korea
IN,India,Republic of India
AU,Australia,Commonwealth of Australia
NZ,New Zealand,New Zealand
ZA,South Africa,Republic of South Africa
EG,Egypt,Arab Republic of Egypt
SA,Saudi Arabia,Kingdom of Saudi Arabia
TR,Türkiye,Republic of Türkiye
AE,United Arab Emirates,United Arab Emirates
